X1,X2,Y
44,32,0
13,13,0
75,14,1
62,61,0
100,80,1
81,66,0
40,16,0
82,59,1
79,17,1
64,35,1
97,6,0
18,50,1
13,43,1
88,11,1
15,39,0
23,29,0
41,79,1
43,40,1
53,62,0
67,38,0
73,58,1
22,76,1
57,26,0
22,82,1
95,51,0
43,77,1
60,53,1
100,34,1
51,63,1
93,60,0
43,7,0
31,15,0
24,32,0
75,77,0
98,41,1
81,36,0
91,46,1
96,72,1
88,23,0
19,15,0
14,30,1
83,52,1
12,43,0
45,3,1
7,92,0
50,87,1
23,29,1
77,26,0
89,1,0
14,55,0
77,95,1
54,13,0
22,18,0
36,61,0
37,52,1
91,91,0
16,71,0
57,1,1
40,23,0
10,62,0
22,30,1
72,42,1
37,62,1
29,74,1
38,45,0
98,92,0
93,29,0
60,19,1
29,77,1
83,43,1
83,25,1
56,89,0
4,81,0
78,35,0
64,77,0
68,99,1
89,79,1
72,64,1
94,52,1
50,29,0
73,60,1
32,41,0
28,19,0
5,49,0
6,50,1
87,63,0
53,21,1
14,79,1
59,90,0
17,25,1
4,41,1
82,86,1
54,11,1
41,26,0
17,60,0
34,2,0
87,40,0
73,16,0
20,69,1
48,19,0
